archive,scene_path,scene_num,scene_date,scene_time,track_type,track_id,member_path
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vrus,000,0000_20230322_081506/vrus/000/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vrus,001,0000_20230322_081506/vrus/001/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vrus,002,0000_20230322_081506/vrus/002/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vrus,003,0000_20230322_081506/vrus/003/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vrus,004,0000_20230322_081506/vrus/004/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1000,0000_20230322_081506/vehicles/1000/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1001,0000_20230322_081506/vehicles/1001/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1002,0000_20230322_081506/vehicles/1002/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1003,0000_20230322_081506/vehicles/1003/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1004,0000_20230322_081506/vehicles/1004/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1005,0000_20230322_081506/vehicles/1005/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1006,0000_20230322_081506/vehicles/1006/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1007,0000_20230322_081506/vehicles/1007/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1008,0000_20230322_081506/vehicles/1008/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1009,0000_20230322_081506/vehicles/1009/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1010,0000_20230322_081506/vehicles/1010/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1011,0000_20230322_081506/vehicles/1011/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1012,0000_20230322_081506/vehicles/1012/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1013,0000_20230322_081506/vehicles/1013/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1014,0000_20230322_081506/vehicles/1014/track.json
imptc_set_01.tar.gz,0000_20230322_081506,0000,20230322,081506,vehicles,1015,0000_20230322_081506/vehicles/1015/track.json
