sample_id,scene_path,archive,target_type,target_id,target_class_name,moment_mode,start_timestamp,end_timestamp,horizon_sec,n_future_points,start_x,start_y,end_x,end_y,displacement,avg_speed_est,status
0000,0000_20230322_081506,imptc_set_01.tar.gz,vrus,000,person,middle,1679472951040035,1679472956040035,5.0,126,-1.901631279433268,2.0528477156764997,-1.5531035200591679,1.9818377021467757,0.355688,0.071138,ok
0001,0000_20230322_081506,imptc_set_01.tar.gz,vrus,002,person,middle,1679472925960035,1679472930960035,5.0,126,10.348255154855023,15.950742274608874,5.948012549196388,20.323470901554774,6.203458,1.240692,ok
0002,0000_20230322_081506,imptc_set_01.tar.gz,vrus,003,person,middle,1679472929960035,1679472934960035,5.0,126,-3.752289794931896,-4.270228318442506,-8.997294860776131,-10.215110352285214,7.927906,1.585581,ok
0004,0001_20230322_083454,imptc_set_01.tar.gz,vrus,000,person,middle,1679474128520035,1679474133520035,5.0,126,-1.7604826595645504,1.0008987428887337,-1.7523615241052755,0.9938253295767343,0.01077,0.002154,ok
0005,0001_20230322_083454,imptc_set_01.tar.gz,vrus,001,person,middle,1679474127040035,1679474132040035,5.0,126,-2.603696671906863,2.6996829826716424,-2.5655068707769475,2.71068447983944,0.039743,0.007949,ok
0006,0001_20230322_083454,imptc_set_01.tar.gz,vrus,002,person,middle,1679474140080035,1679474145080035,5.0,126,-1.9463365027705006,-0.5989755061973071,-1.8795022585720682,-0.4281316084715904,0.183452,0.03669,ok
0007,0001_20230322_083454,imptc_set_01.tar.gz,vrus,003,person,middle,1679474137160035,1679474142160035,5.0,126,0.021173428094689483,0.49350141201468234,0.01803574680276874,0.49803155729060045,0.005511,0.001102,ok
0008,0001_20230322_083454,imptc_set_01.tar.gz,vrus,004,person,middle,1679474145640035,1679474150640035,5.0,126,9.32455469941376,15.696147576948283,4.1061932297013115,9.640059106815563,7.994217,1.598843,ok
0009,0001_20230322_083454,imptc_set_01.tar.gz,vrus,005,person,middle,1679474140240035,1679474145240035,5.0,126,-5.269199914256276,3.6279382121176766,-8.832185141239131,8.025548921263093,5.659845,1.131969,ok
0010,0001_20230322_083454,imptc_set_01.tar.gz,vrus,006,person,middle,1679474109920035,1679474114920035,5.0,126,10.002740836270926,16.75825519748047,4.4867867296915485,20.681975277461284,6.769145,1.353829,ok
0011,0001_20230322_083454,imptc_set_01.tar.gz,vrus,007,person,middle,1679474151920035,1679474156920035,5.0,126,1.6366879302674695,3.810689369418244,6.877483347051109,11.080245910301063,8.961718,1.792344,ok
0013,0001_20230322_083454,imptc_set_01.tar.gz,vrus,009,person,middle,1679474158480035,1679474163480035,5.0,126,0.1819055920960484,-4.287235025597055,0.03616991459945376,-4.587657648190459,0.333905,0.066781,ok
0014,0001_20230322_083454,imptc_set_01.tar.gz,vrus,010,person,middle,1679474108120035,1679474113120035,5.0,126,4.301936831704124,-5.6962005284594515,-0.5235190218260478,-1.3887650313233115,6.468309,1.293662,ok
0015,0001_20230322_083454,imptc_set_01.tar.gz,vrus,011,person,middle,1679474105200035,1679474110200035,5.0,126,4.166569132633388,20.75035769333631,-1.0260692344126299,25.3388106539298,6.929458,1.385892,ok
0016,0001_20230322_083454,imptc_set_01.tar.gz,vrus,012,person,middle,1679474109240035,1679474114240035,5.0,126,-1.7453277438825567,28.26410051910709,3.3830602926856557,23.15588005535148,7.238389,1.447678,ok
0017,0001_20230322_083454,imptc_set_01.tar.gz,vrus,013,person,middle,1679474128200035,1679474133200035,5.0,126,-1.1425997732535715,0.48652999488658455,-1.0839192349991396,0.4594940267945634,0.064609,0.012922,ok
0019,0002_20230322_083625,imptc_set_01.tar.gz,vrus,000,person,middle,1679474215760035,1679474220760035,5.0,126,-2.0079697400915553,1.879740428382892,-2.0387071050433963,1.9657452412811074,0.091332,0.018266,ok
0020,0002_20230322_083625,imptc_set_01.tar.gz,vrus,001,person,middle,1679474206080035,1679474211080035,5.0,126,-1.869572932236803,0.08766304238367523,-6.139095842363215,4.673297736890644,6.26553,1.253106,ok
0021,0002_20230322_083625,imptc_set_01.tar.gz,vrus,003,person,middle,1679474226960035,1679474231960035,5.0,126,-0.3562911091230154,1.1595604807575524,-0.3532550462339085,1.0733091057396498,0.086305,0.017261,ok
0022,0002_20230322_083625,imptc_set_01.tar.gz,vrus,004,person,middle,1679474232920035,1679474237920035,5.0,126,-6.521232645048806,-7.8999917257549335,-1.9786204098600948,-2.646245016261762,6.945299,1.38906,ok
0023,0002_20230322_083625,imptc_set_01.tar.gz,vrus,005,person,middle,1679474233920035,1679474238920035,5.0,126,-6.350584965593564,-6.805322580674105,-1.4753928014841278,-1.3241875800544427,7.335553,1.467111,ok
0024,0002_20230322_083625,imptc_set_01.tar.gz,vrus,006,person,middle,1679474191360035,1679474196360035,5.0,126,9.75978829751953,-9.667696947478671,14.85316985514191,-13.645726381279825,6.462759,1.292552,ok
0026,0003_20230322_083935,imptc_set_01.tar.gz,vrus,000,person,middle,1679474406000035,1679474411000035,5.0,126,-1.837948942280195,1.9563247775765487,-1.8972496166900616,1.9696704446868833,0.060784,0.012157,ok
0027,0003_20230322_083935,imptc_set_01.tar.gz,vrus,002,person,middle,1679474421440035,1679474426440035,5.0,126,2.0245347123785113,5.694636098158885,7.767368589698212,11.94315413271434,8.486702,1.69734,ok
0028,0003_20230322_083935,imptc_set_01.tar.gz,vrus,003,person,middle,1679474424840035,1679474429840035,5.0,126,10.075792332714402,-10.476671495214108,10.048369664077175,-10.503482847502408,0.038352,0.00767,ok
0029,0003_20230322_083935,imptc_set_01.tar.gz,vrus,004,person,middle,1679474426400035,1679474431400035,5.0,126,6.558072429651857,8.160094260833228,1.2903717481706454,0.8873236242430711,8.980081,1.796016,ok
0030,0003_20230322_083935,imptc_set_01.tar.gz,vrus,007,person,middle,1679474426080035,1679474431080035,5.0,126,19.8785684655236,15.682279315663227,18.532253049942515,14.919276289237642,1.547494,0.309499,ok
0031,0004_20230322_084251,imptc_set_01.tar.gz,vrus,000,person,middle,1679474596640035,1679474601640035,5.0,126,-4.245381801400365,1.9915170470980352,0.6249139029769953,4.367514941438028,5.418962,1.083792,ok
0032,0004_20230322_084251,imptc_set_01.tar.gz,vrus,001,person,middle,1679474595240035,1679474600240035,5.0,126,9.541059137310956,16.57717618532479,4.625805993407815,11.661236662529053,6.951703,1.390341,ok
0033,0004_20230322_084251,imptc_set_01.tar.gz,vrus,002,person,middle,1679474594480035,1679474599480035,5.0,126,-0.876966821231089,1.0559911033671974,5.057754601987963,7.5990564495164366,8.833608,1.766722,ok
0034,0004_20230322_084251,imptc_set_01.tar.gz,vrus,003,person,middle,1679474593880035,1679474598880035,5.0,126,-1.4185753011988171,-1.8983286536481931,1.7816053711639506,3.3256981509621952,6.126305,1.225261,ok
