sample_id,src_info,src_scene_code,src_track_id,src_date,src_time,src_block,src_scene_idx
0000,20230322_081506/000,20230322_081506,000,20230322,081506,,
0001,20230322_081506/002,20230322_081506,002,20230322,081506,,
0002,20230322_081506/003,20230322_081506,003,20230322,081506,,
0003,20230322_081506/004,20230322_081506,004,20230322,081506,,
0004,20230322_083454/000,20230322_083454,000,20230322,083454,,
0005,20230322_083454/001,20230322_083454,001,20230322,083454,,
0006,20230322_083454/002,20230322_083454,002,20230322,083454,,
0007,20230322_083454/003,20230322_083454,003,20230322,083454,,
0008,20230322_083454/004,20230322_083454,004,20230322,083454,,
0009,20230322_083454/005,20230322_083454,005,20230322,083454,,
0010,20230322_083454/006,20230322_083454,006,20230322,083454,,
0011,20230322_083454/007,20230322_083454,007,20230322,083454,,
0012,20230322_083454/008,20230322_083454,008,20230322,083454,,
0013,20230322_083454/009,20230322_083454,009,20230322,083454,,
0014,20230322_083454/010,20230322_083454,010,20230322,083454,,
0015,20230322_083454/011,20230322_083454,011,20230322,083454,,
0016,20230322_083454/012,20230322_083454,012,20230322,083454,,
0017,20230322_083454/013,20230322_083454,013,20230322,083454,,
0018,20230322_083454/015,20230322_083454,015,20230322,083454,,
0019,20230322_083625/000,20230322_083625,000,20230322,083625,,
0020,20230322_083625/001,20230322_083625,001,20230322,083625,,
0021,20230322_083625/003,20230322_083625,003,20230322,083625,,
0022,20230322_083625/004,20230322_083625,004,20230322,083625,,
0023,20230322_083625/005,20230322_083625,005,20230322,083625,,
0024,20230322_083625/006,20230322_083625,006,20230322,083625,,
0025,20230322_083625/007,20230322_083625,007,20230322,083625,,
0026,20230322_083935/000,20230322_083935,000,20230322,083935,,
0027,20230322_083935/002,20230322_083935,002,20230322,083935,,
0028,20230322_083935/003,20230322_083935,003,20230322,083935,,
0029,20230322_083935/004,20230322_083935,004,20230322,083935,,
0030,20230322_083935/007,20230322_083935,007,20230322,083935,,
0031,20230322_084251/000,20230322_084251,000,20230322,084251,,
0032,20230322_084251/001,20230322_084251,001,20230322,084251,,
0033,20230322_084251/002,20230322_084251,002,20230322,084251,,
0034,20230322_084251/003,20230322_084251,003,20230322,084251,,
0035,20230322_084251/004,20230322_084251,004,20230322,084251,,
0036,20230322_084251/005,20230322_084251,005,20230322,084251,,
0037,20230322_084251/006,20230322_084251,006,20230322,084251,,
0038,20230322_084251/007,20230322_084251,007,20230322,084251,,
0039,20230322_084431/000,20230322_084431,000,20230322,084431,,
0040,20230322_084431/001,20230322_084431,001,20230322,084431,,
0041,20230322_084431/002,20230322_084431,002,20230322,084431,,
0042,20230322_084431/004,20230322_084431,004,20230322,084431,,
0043,20230322_084431/005,20230322_084431,005,20230322,084431,,
0044,20230322_084431/006,20230322_084431,006,20230322,084431,,
0045,20230322_113007/000,20230322_113007,000,20230322,113007,,
0046,20230322_113007/001,20230322_113007,001,20230322,113007,,
0047,20230322_113007/002,20230322_113007,002,20230322,113007,,
0048,20230322_113007/003,20230322_113007,003,20230322,113007,,
0049,20230322_113007/004,20230322_113007,004,20230322,113007,,
0050,20230322_113007/005,20230322_113007,005,20230322,113007,,
0051,20230322_113007/006,20230322_113007,006,20230322,113007,,
0052,20230322_113007/007,20230322_113007,007,20230322,113007,,
0053,20230322_113007/009,20230322_113007,009,20230322,113007,,
0054,20230322_113007/010,20230322_113007,010,20230322,113007,,
0055,20230322_113007/011,20230322_113007,011,20230322,113007,,
0056,20230322_113007/012,20230322_113007,012,20230322,113007,,
0057,20230322_114343/000,20230322_114343,000,20230322,114343,,
0058,20230322_114343/001,20230322_114343,001,20230322,114343,,
0059,20230322_114343/003,20230322_114343,003,20230322,114343,,
0060,20230322_114343/004,20230322_114343,004,20230322,114343,,
0061,20230322_114343/005,20230322_114343,005,20230322,114343,,
0062,20230322_114343/006,20230322_114343,006,20230322,114343,,
0063,20230322_114343/007,20230322_114343,007,20230322,114343,,
0064,20230322_114623/000,20230322_114623,000,20230322,114623,,
0065,20230322_114623/002,20230322_114623,002,20230322,114623,,
