sample_id,src_info,archive,scene_path,radius,target_type,target_id,target_class_name,target_first_ts,target_last_ts,target_length,target_duration,other_type,other_id,common_timestamps,close_frames,min_dist,other_class_name,other_first_ts,other_last_ts,other_length,other_duration,other_member_path
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vrus,003,517,174,1.001904,person,1679472919640035,1679472940280035,517,20.72,0000_20230322_081506/vrus/003/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vrus,001,2188,53,1.977259,scooter,1679472907040035,1679472994520035,2188,87.56,0000_20230322_081506/vrus/001/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1016,157,39,3.343422,car,1679472928240035,1679472934480035,157,6.28,0000_20230322_081506/vehicles/1016/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1022,188,29,3.840729,car,1679472933400035,1679472940880035,188,7.52,0000_20230322_081506/vehicles/1022/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1026,165,28,3.50633,car,1679472936600035,1679472943160035,165,6.6,0000_20230322_081506/vehicles/1026/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1006,116,27,3.732613,car,1679472923680035,1679472928280035,116,4.64,0000_20230322_081506/vehicles/1006/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1029,219,26,3.445822,car,1679472937120035,1679472945840035,219,8.76,0000_20230322_081506/vehicles/1029/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1044,262,25,3.926354,truck,1679472928520035,1679472938960035,262,10.48,0000_20230322_081506/vehicles/1044/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1028,111,22,3.801708,car,1679472941640035,1679472946040035,111,4.44,0000_20230322_081506/vehicles/1028/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1032,124,18,4.298074,car,1679472942440035,1679472947360035,124,4.96,0000_20230322_081506/vehicles/1032/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1031,105,17,3.338435,car,1679472967080035,1679472971240035,105,4.2,0000_20230322_081506/vehicles/1031/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1033,115,17,3.746006,car,1679472969440035,1679472974000035,115,4.6,0000_20230322_081506/vehicles/1033/track.json
0000,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,000,person,1679472907040035,1679472995040035,2201,88.08,vehicles,1050,297,3,4.983665,car,1679472978800035,1679472990640035,297,11.88,0000_20230322_081506/vehicles/1050/track.json
0001,20230322_081506/002,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,002,person,1679472907040035,1679472944840035,946,37.88,vrus,001,946,207,0.902457,scooter,1679472907040035,1679472994520035,2188,87.56,0000_20230322_081506/vrus/001/track.json
0001,20230322_081506/002,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,002,person,1679472907040035,1679472944840035,946,37.88,vehicles,1010,128,26,3.328794,car,1679472922240035,1679472927320035,128,5.12,0000_20230322_081506/vehicles/1010/track.json
0001,20230322_081506/002,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,002,person,1679472907040035,1679472944840035,946,37.88,vehicles,1015,155,24,3.670561,car,1679472923880035,1679472930040035,155,6.2,0000_20230322_081506/vehicles/1015/track.json
0001,20230322_081506/002,imptc_set_01.tar.gz,0000_20230322_081506,5.0,vrus,002,person,1679472907040035,1679472944840035,946,37.88,vehicles,1002,98,23,3.117424,car,1679472929720035,1679472933600035,98,3.92,0000_20230322_081506/vehicles/1002/track.json
